"camp_name","dataextract_dur","dataextract_start","dataextract_stop","datavalidate_dur","datavalidate_start","datavalidate_stop","duration","end_time","fi_enabled","launch_dur","launch_start","launch_stop","launchfi_dur","launchfi_start","launchfi_stop","peak_dur","peak_start","peak_stop","postfinish_dur","postfinish_start","postfinish_stop","postlaunch_dur","postlaunch_start","postlaunch_stop","prelaunch_dur","prelaunch_start","prelaunch_stop","run_n","start_time","transform_dur","transform_start","transform_stop"
"GoldenRun_Baseline",1.0013580322265625e-05,1779053405.7204669,1779053405.7204769,8.344650268554688e-06,1779053405.720513,1779053405.7205215,78.37858271598816,1779053405.720528,"False",0.022814273834228516,1779053327.3423176,1779053327.3651319,5.9604644775390625e-06,1779053327.3652163,1779053327.3652222,78.35519051551819,1779053327.3652363,1779053405.7204268,1.3589859008789062e-05,1779053405.7204456,1779053405.7204592,4.744529724121094e-05,1779053327.3651564,1779053327.3652039,1.3589859008789062e-05,1779053327.3422968,1779053327.3423104,1.0,1779053327.3419452,1.1444091796875e-05,1779053405.7204876,1779053405.720499
"GoldenRun_Baseline",0.0005602836608886719,1779053508.1849422,1779053508.1855025,0.00040602684020996094,1779053508.1965497,1779053508.1969557,102.36252808570862,1779053508.2062697,"False",0.04743623733520508,1779053405.8446794,1779053405.8921156,6.9141387939453125e-06,1779053405.8921738,1779053405.8921807,102.2736086845398,1779053405.892196,1779053508.1658046,0.0004649162292480469,1779053508.17545,1779053508.175915,1.239776611328125e-05,1779053405.8921506,1779053405.892163,1.239776611328125e-05,1779053405.8446584,1779053405.8446708,2.0,1779053405.8437417,0.001386880874633789,1779053508.1926432,1779053508.19403
"GoldenRun_Baseline",1.1205673217773438e-05,1779053611.9453516,1779053611.9453628,7.62939453125e-06,1779053611.9454038,1779053611.9454114,101.60618209838867,1779053611.9454472,"False",0.3290104866027832,1779053510.4015718,1779053510.7305822,1.0013580322265625e-05,1779053510.74851,1779053510.74852,101.19676995277405,1779053510.7485425,1779053611.9453125,9.775161743164062e-06,1779053611.9453342,1779053611.945344,1.4781951904296875e-05,1779053510.7311187,1779053510.7311335,0.01174020767211914,1779053510.3891578,1779053510.400898,3.0,1779053510.339265,1.1205673217773438e-05,1779053611.9453778,1779053611.945389
"GoldenRun_Baseline",1.1920928955078125e-05,1779053713.2953217,1779053713.2953336,7.62939453125e-06,1779053713.3059754,1779053713.305983,101.25387454032898,1779053713.306008,"False",0.1012122631072998,1779053612.0630007,1779053612.164213,6.4373016357421875e-06,1779053612.1642792,1779053612.1642857,101.13098359107971,1779053612.1643028,1779053713.2952864,9.059906005859375e-06,1779053713.295305,1779053713.295314,1.3113021850585938e-05,1779053612.1642535,1779053612.1642666,1.52587890625e-05,1779053612.062976,1779053612.0629911,4.0,1779053612.0521336,1.9073486328125e-05,1779053713.3059366,1779053713.3059556
"GoldenRun_Baseline",1.0251998901367188e-05,1779053814.5170927,1779053814.517103,8.106231689453125e-06,1779053814.5171452,1779053814.5171533,101.10672879219055,1779053814.5171852,"False",0.03766155242919922,1779053713.410665,1779053713.4483266,9.059906005859375e-06,1779053713.4483979,1779053713.448407,101.06862568855286,1779053713.448429,1779053814.5170548,9.5367431640625e-06,1779053814.5170755,1779053814.517085,1.5735626220703125e-05,1779053713.4483688,1779053713.4483845,1.049041748046875e-05,1779053713.4106464,1779053713.410657,5.0,1779053713.4104564,1.1920928955078125e-05,1779053814.5171196,1779053814.5171316
"GoldenRun_Baseline",1.0251998901367188e-05,1779053915.808276,1779053915.8082862,7.152557373046875e-06,1779053915.8083253,1779053915.8083324,101.13263964653015,1779053915.8083618,"False",0.038986921310424805,1779053814.676095,1779053814.715082,7.867813110351562e-06,1779053814.7151356,1779053814.7151434,101.0930826663971,1779053814.7151592,1779053915.8082418,9.298324584960938e-06,1779053915.8082597,1779053915.808269,1.2159347534179688e-05,1779053814.7151122,1779053814.7151244,1.1682510375976562e-05,1779053814.6760747,1779053814.6760864,6.0,1779053814.6757221,1.0728836059570312e-05,1779053915.8083022,1779053915.808313
"GoldenRun_Baseline",1.0728836059570312e-05,1779054017.0530028,1779054017.0530136,7.62939453125e-06,1779054017.0530524,1779054017.05306,101.16903448104858,1779054017.0530899,"False",0.016546249389648438,1779053915.8864403,1779053915.9029865,7.152557373046875e-06,1779053915.903035,1779053915.903042,101.14990854263306,1779053915.903057,1779054017.0529656,9.298324584960938e-06,1779054017.0529869,1779054017.0529962,1.1920928955078125e-05,1779053915.9030137,1779053915.9030256,1.2159347534179688e-05,1779053915.886419,1779053915.8864312,7.0,1779053915.8840554,1.1205673217773438e-05,1779054017.053026,1779054017.0530372
"GoldenRun_Baseline",1.2636184692382812e-05,1779054118.3606312,1779054118.3606439,7.3909759521484375e-06,1779054118.3606863,1779054118.3606937,101.17162489891052,1779054118.3607366,"False",0.04800772666931152,1779054017.1989868,1779054017.2469945,7.62939453125e-06,1779054017.247048,1779054017.2470555,101.11351799964905,1779054017.2470741,1779054118.3605921,9.775161743164062e-06,1779054118.3606143,1779054118.360624,1.33514404296875e-05,1779054017.247024,1779054017.2470374,1.0967254638671875e-05,1779054017.1989665,1779054017.1989775,8.0,1779054017.1891117,1.1444091796875e-05,1779054118.3606608,1779054118.3606722
"GoldenRun_Baseline",1.0251998901367188e-05,1779054219.5831256,1779054219.5831358,7.152557373046875e-06,1779054219.5831733,1779054219.5831804,101.11019372940063,1779054219.5832076,"False",0.05328631401062012,1779054118.4733257,1779054118.526612,7.152557373046875e-06,1779054118.5266676,1779054118.5266747,101.05639839172363,1779054118.5266926,1779054219.583091,9.5367431640625e-06,1779054219.5831091,1779054219.5831187,1.2874603271484375e-05,1779054118.526645,1779054118.5266578,1.1205673217773438e-05,1779054118.4733064,1779054118.4733176,9.0,1779054118.4730139,1.049041748046875e-05,1779054219.5831501,1779054219.5831606
"GoldenRun_Baseline",1.049041748046875e-05,1779054320.7742336,1779054320.774244,8.106231689453125e-06,1779054320.7742848,1779054320.774293,101.09279036521912,1779054320.774323,"False",0.020183563232421875,1779054219.6818128,1779054219.7019963,7.3909759521484375e-06,1779054219.702044,1779054219.7020514,101.07212948799133,1779054219.7020679,1779054320.7741973,9.775161743164062e-06,1779054320.774217,1779054320.7742267,1.2159347534179688e-05,1779054219.702022,1779054219.7020342,1.1205673217773438e-05,1779054219.681793,1779054219.6818042,10.0,1779054219.6815326,1.1682510375976562e-05,1779054320.774259,1779054320.7742708
