"camp_name","dataextract_dur","dataextract_start","dataextract_stop","datavalidate_dur","datavalidate_start","datavalidate_stop","duration","end_time","fi_enabled","launch_dur","launch_start","launch_stop","launchfi_dur","launchfi_start","launchfi_stop","peak_dur","peak_start","peak_stop","postfinish_dur","postfinish_start","postfinish_stop","postlaunch_dur","postlaunch_start","postlaunch_stop","prelaunch_dur","prelaunch_start","prelaunch_stop","run_n","start_time","transform_dur","transform_start","transform_stop"
"GoldenRun_FT_V4",0.0031883716583251953,1779053546.4938812,1779053546.4970696,0.0013117790222167969,1779053546.5094361,1779053546.510748,102.87874579429626,1779053546.5107605,"False",0.03340744972229004,1779053443.654615,1779053443.6880224,6.198883056640625e-06,1779053443.6880796,1779053443.6880858,102.79246520996094,1779053443.6880996,1779053546.4805648,0.0007970333099365234,1779053546.4930365,1779053546.4938335,1.5735626220703125e-05,1779053443.6880517,1779053443.6880674,2.2649765014648438e-05,1779053443.6545765,1779053443.6545992,1.0,1779053443.6320148,0.003316640853881836,1779053546.497662,1779053546.5009787
"GoldenRun_FT_V4",9.775161743164062e-06,1779053651.3164508,1779053651.3164606,6.9141387939453125e-06,1779053651.3164988,1779053651.3165057,101.3598837852478,1779053651.3165298,"False",0.2511298656463623,1779053549.9790344,1779053550.2301643,9.5367431640625e-06,1779053550.2319133,1779053550.2319229,101.08447432518005,1779053550.231942,1779053651.3164163,1.2636184692382812e-05,1779053651.3164313,1779053651.316444,1.4066696166992188e-05,1779053550.2302008,1779053550.2302148,9.5367431640625e-06,1779053549.979011,1779053549.9790206,2.0,1779053549.956646,1.0967254638671875e-05,1779053651.316475,1779053651.316486
"GoldenRun_FT_V4",9.775161743164062e-06,1779053752.46741,1779053752.4674199,7.152557373046875e-06,1779053752.4674585,1779053752.4674656,101.08587598800659,1779053752.4674945,"False",0.02610182762145996,1779053651.3861747,1779053651.4122765,5.9604644775390625e-06,1779053651.4123292,1779053651.4123352,101.0550274848938,1779053651.412349,1779053752.4673765,1.1682510375976562e-05,1779053752.4673915,1779053752.4674032,1.3589859008789062e-05,1779053651.4123056,1779053651.4123192,9.059906005859375e-06,1779053651.386156,1779053651.3861651,3.0,1779053651.3816185,1.1205673217773438e-05,1779053752.4674332,1779053752.4674444
"GoldenRun_FT_V4",0.001306772232055664,1779053853.8990273,1779053853.9003341,9.5367431640625e-06,1779053853.9003863,1779053853.9003959,101.37487411499023,1779053853.9070103,"False",0.06998968124389648,1779053752.5340836,1779053752.6040733,6.198883056640625e-06,1779053752.6041377,1779053752.6041439,101.28992056846619,1779053752.6041603,1779053853.8940809,0.003886699676513672,1779053853.895131,1779053853.8990178,1.8835067749023438e-05,1779053752.6041098,1779053752.6041286,9.059906005859375e-06,1779053752.534066,1779053752.534075,4.0,1779053752.5321362,1.5020370483398438e-05,1779053853.900353,1779053853.900368
"GoldenRun_FT_V4",1.1205673217773438e-05,1779053955.4255621,1779053955.4255733,7.3909759521484375e-06,1779053955.4256113,1779053955.4256186,101.05938363075256,1779053955.425648,"False",0.0129241943359375,1779053854.3731039,1779053854.386028,6.67572021484375e-06,1779053854.386087,1779053854.3860936,101.0394196510315,1779053854.3861086,1779053955.4255283,1.1920928955078125e-05,1779053955.4255433,1779053955.4255552,1.3828277587890625e-05,1779053854.3860605,1779053854.3860743,4.029273986816406e-05,1779053854.373054,1779053854.3730943,5.0,1779053854.3662643,1.1205673217773438e-05,1779053955.4255872,1779053955.4255984
"GoldenRun_FT_V4",1.1444091796875e-05,1779054056.6681736,1779054056.668185,8.106231689453125e-06,1779054056.668222,1779054056.66823,101.1157922744751,1779054056.66826,"False",0.025705337524414062,1779053955.5527995,1779053955.5785048,5.9604644775390625e-06,1779053955.578564,1779053955.57857,101.0895528793335,1779053955.5785856,1779054056.6681385,1.1920928955078125e-05,1779054056.6681547,1779054056.6681666,1.4066696166992188e-05,1779053955.5785387,1779053955.5785527,8.58306884765625e-06,1779053955.552782,1779053955.5527906,6.0,1779053955.5524678,1.0967254638671875e-05,1779054056.6681976,1779054056.6682086
"GoldenRun_FT_V4",1.4781951904296875e-05,1779054159.0713782,1779054159.071393,0.010503768920898438,1779054159.0714345,1779054159.0819383,101.31173992156982,1779054159.0869546,"False",0.04259467124938965,1779054057.7754142,1779054057.818009,5.9604644775390625e-06,1779054057.8180625,1779054057.8180685,101.24795413017273,1779054057.818086,1779054159.06604,1.5497207641601562e-05,1779054159.0665896,1779054159.066605,1.3828277587890625e-05,1779054057.8180382,1779054057.818052,7.152557373046875e-06,1779054057.7753987,1779054057.775406,7.0,1779054057.7752147,1.239776611328125e-05,1779054159.071408,1779054159.0714204
"GoldenRun_FT_V4",1.0251998901367188e-05,1779054260.6872637,1779054260.687274,7.62939453125e-06,1779054260.6873133,1779054260.687321,101.1702311038971,1779054260.687353,"False",0.08437705039978027,1779054159.550926,1779054159.635303,7.152557373046875e-06,1779054159.639226,1779054159.639233,101.04797625541687,1779054159.6392536,1779054260.6872299,1.239776611328125e-05,1779054260.687244,1779054260.6872563,0.0038771629333496094,1779054159.6353314,1779054159.6392086,9.775161743164062e-06,1779054159.5480914,1779054159.5481012,8.0,1779054159.5171218,1.1444091796875e-05,1779054260.68729,1779054260.6873014
"GoldenRun_FT_V4",9.775161743164062e-06,1779054361.8171427,1779054361.8171525,1.1205673217773438e-05,1779054361.8172011,1779054361.8172123,101.04689908027649,1779054361.817257,"False",0.011311054229736328,1779054260.770691,1779054260.782002,7.3909759521484375e-06,1779054260.7820563,1779054260.7820637,101.03501176834106,1779054260.7820826,1779054361.8170943,1.621246337890625e-05,1779054361.8171165,1779054361.8171327,1.1682510375976562e-05,1779054260.7820334,1779054260.7820451,1.52587890625e-05,1779054260.770663,1779054260.7706783,9.0,1779054260.7703578,1.2636184692382812e-05,1779054361.8171668,1779054361.8171794
"GoldenRun_FT_V4",1.0251998901367188e-05,1779054463.0255961,1779054463.0256064,7.3909759521484375e-06,1779054463.025643,1779054463.0256505,101.05723476409912,1779054463.0256796,"False",0.017930984497070312,1779054361.9701574,1779054361.9880884,6.198883056640625e-06,1779054361.9881477,1779054361.988154,101.03738927841187,1779054361.9881704,1779054463.0255597,1.2159347534179688e-05,1779054463.0255764,1779054463.0255885,1.33514404296875e-05,1779054361.9881217,1779054361.988135,9.5367431640625e-06,1779054361.970138,1779054361.9701476,10.0,1779054361.9684448,1.0967254638671875e-05,1779054463.025619,1779054463.02563
